id,category,pdf,page,terms_in_source,terms_applied,terms_missed,english_leaks,row_hit_rate
ae76ca67473711e2,abrasive_metering_valves,ZVP-PC-0071-01.pdf,1,,,,,
b559ad378a4ed390,abrasive_metering_valves,ZVP-PC-0071-01.pdf,2,,,,,
b3d04b46799ee7f9,abrasive_metering_valves,ZVP-PC-0071-01.pdf,2,,,,,
ae0636401be3d40c,abrasive_metering_valves,ZVP-PC-0071-01.pdf,2,,,,,
e46f9373f151df25,abrasive_metering_valves,ZVP-PC-0071-01.pdf,2,,,,,
01949fdb65dfe639,abrasive_metering_valves,ZVP-PC-0071-01.pdf,2,,,,,
06025356fd715b18,abrasive_metering_valves,ZVP-PC-0071-01.pdf,2,,,,,
f7bf4e62b07165ab,abrasive_metering_valves,ZVP-PC-0071-01.pdf,2,,,,,
9efa6649fc5c81b5,abrasive_metering_valves,ZVP-PC-0071-01.pdf,2,,,,,
432ef796a353c040,abrasive_metering_valves,ZVP-PC-0071-01.pdf,2,,,,,
47e8648825828bcf,abrasive_metering_valves,ZVP-PC-0071-01.pdf,2,,,,,
b1138a09605e3127,abrasive_metering_valves,ZVP-PC-0071-01.pdf,2,,,,,
20495619ee56be43,abrasive_metering_valves,ZVP-PC-0071-01.pdf,2,,,,,
eec3bd0925a4490d,abrasive_metering_valves,ZVP-PC-0071-01.pdf,2,,,,,
9c9c5db5eb9e5586,abrasive_metering_valves,ZVP-PC-0071-01.pdf,2,,,,,
52cf9b5b8467f8ea,abrasive_metering_valves,ZVP-PC-0071-01.pdf,2,,,,,
f510ce91e857a248,abrasive_metering_valves,ZVP-PC-0071-01.pdf,2,Panblast (×1),Panblast→Panblast,,,1/1
ccdc07f3832acda2,abrasive_metering_valves,ZVP-PC-0071-01.pdf,2,,,,,
3cf306ca58bf5c20,abrasive_metering_valves,ZVP-PC-0071-01.pdf,2,,,,,
752eca5d88fc400d,abrasive_metering_valves,ZVP-PC-0071-01.pdf,2,,,,,
6e09d4e3fcb57f39,abrasive_metering_valves,ZVP-PC-0071-01.pdf,2,,,,,
a315de9d1ab30226,abrasive_metering_valves,ZVP-PC-0071-01.pdf,2,,,,,
a34c5861c05fd023,abrasive_metering_valves,ZVP-PC-0071-01.pdf,2,,,,,
7d4ea0406dfd8275,abrasive_metering_valves,ZVP-PC-0071-01.pdf,2,abrasive control valve (×1) | Panblast (×1) | BSP (×1),abrasive control valve→válvula dosificadora | Panblast→Panblast | BSP→BSP,,,3/3
91c802a6bf59b8ec,abrasive_metering_valves,ZVP-PC-0071-01.pdf,2,abrasive control valve (×1) | Panblast (×1),abrasive control valve→válvula dosificadora | Panblast→Panblast,,,2/2
4fe97e5126fe657d,abrasive_metering_valves,ZVP-PC-0071-01.pdf,2,,,,,
1f2ef616c4eefe05,abrasive_metering_valves,ZVP-PC-0071-01.pdf,2,,,,,
378f4beeb5badf78,abrasive_metering_valves,ZVP-PC-0071-01.pdf,2,,,,,
b4b2f9570f44ef16,abrasive_metering_valves,ZVP-PC-0071-01.pdf,3,,,,,
1e7d762c197c67d1,abrasive_metering_valves,ZVP-PC-0071-01.pdf,3,abrasive control valve (×1) | Panblast (×1),abrasive control valve→válvula dosificadora | Panblast→Panblast,,,2/2
d28679837c59c2f1,abrasive_metering_valves,ZVP-PC-0071-01.pdf,3,,,,,
67cec791777b0a1e,abrasive_metering_valves,ZVP-PC-0071-01.pdf,3,pipe nipple (×1),pipe nipple→niple de tubo dosificador,,,1/1
3464bd4ff7c8e935,abrasive_metering_valves,ZVP-PC-0071-01.pdf,3,,,,,
47e1f4fad8d67df4,abrasive_metering_valves,ZVP-PC-0071-01.pdf,3,pipe nipple (×1),pipe nipple→niple de tubo dosificador,,,1/1
5c2ce91c5b5bb72a,abrasive_metering_valves,ZVP-PC-0071-01.pdf,3,,,,,
da563688b5ca8c0f,abrasive_metering_valves,ZVP-PC-0071-01.pdf,3,,,,,
